,id,city,country,latitude,longitude,curr_weather,temperature,min_temperature,max_temperature,pressure,humidity%,visibility,cloudiness,wind_speed
0,3374210,sao filipe,São Filipe,14.8961,-24.4956,Clear,70.97,70.97,70.97,1015,74,10000,6,14.0
1,1014653,burgersdorp,Burgersdorp,-30.9977,26.3286,Clouds,67.1,67.1,67.1,1014,62,10000,55,7.2
2,4020109,atuona,Atuona,-9.8,-139.0333,Clouds,78.76,78.76,78.76,1013,79,10000,80,20.47
3,6201424,mataura,Mataura,-46.1927,168.8643,Clear,59.49,59.49,59.49,1023,74,10000,10,1.12
4,3430443,necochea,Necochea,-38.5473,-58.7368,Clouds,78.04,78.04,78.04,1007,43,10000,35,13.69
5,2075265,busselton,Busselton,-33.65,115.3333,Clouds,67.05,67.05,68.09,1012,80,10000,100,15.14
6,3689458,astrea,Astrea,9.4983,-73.9759,Clouds,100.81,100.81,100.81,1004,22,10000,14,1.32
7,2206939,bluff,Bluff,-46.6,168.3333,Clouds,59.81,59.81,59.81,1023,84,10000,23,4.99
8,3833367,ushuaia,Ushuaia,-54.8,-68.3,Clouds,56.86,56.86,56.86,997,67,10000,75,21.85
9,4032243,vaini,Vaini,-21.2,-175.2,Clouds,84.36,84.36,84.36,1004,84,10000,75,9.22
10,3893726,constitucion,Constitución,-35.3333,-72.4167,Clouds,66.33,66.33,66.33,1016,73,10000,12,8.19
11,2112802,hasaki,Hasaki,35.7333,140.8333,Clear,27.0,19.69,27.0,1020,43,10000,4,9.48
12,3832899,viedma,Viedma,-40.8135,-62.9967,Rain,61.92,61.92,61.92,995,82,10000,99,35.86
13,3389321,santa rita,Santa Rita,-7.1139,-34.9781,Clouds,83.07,83.07,83.07,1012,74,10000,40,10.36
14,2264557,ponta do sol,Ponta do Sol,32.6667,-17.1,Rain,61.74,60.71,64.06,1021,72,10000,31,11.68
15,1519580,saryozek,Saryozek,44.3583,77.9753,Clouds,22.55,22.55,22.55,1030,76,10000,13,4.34
16,2128025,shizunai,Shizunai-furukawachō,42.3339,142.3669,Clouds,28.78,28.78,28.78,1009,80,10000,80,18.68
17,3652764,puerto ayora,Puerto Ayora,-0.7393,-90.3518,Clouds,87.76,87.76,87.76,1010,71,10000,66,10.76
18,5557293,sitka,Sitka,57.0531,-135.33,Clouds,42.69,42.69,42.69,1026,70,10000,75,0.0
19,3874787,punta arenas,Punta Arenas,-53.15,-70.9167,Clouds,66.31,66.11,66.31,999,48,10000,40,17.27
20,3440777,rocha,Rocha,-34.4833,-54.3333,Clouds,68.54,68.54,68.54,1012,93,10000,100,8.48
21,5866583,kodiak,Saint Paul Harbor,57.79,-152.4072,Mist,44.11,44.11,44.11,1003,81,3219,100,12.66
22,3403687,camocim,Camocim,-2.9022,-40.8411,Clouds,82.49,82.49,82.49,1009,75,10000,100,17.22
23,2037252,genhe,Genhe,50.7833,121.5167,Clouds,-3.44,-3.44,-3.44,1017,100,3682,100,2.37
24,2092164,lorengau,Lorengau,-2.0226,147.2712,Clouds,79.02,79.02,79.02,1008,79,10000,100,2.39
25,3366880,hermanus,Hermanus,-34.4187,19.2345,Clouds,70.81,70.81,73.9,1017,86,10000,97,11.56
26,2165478,gladstone,Gladstone,-23.85,151.25,Clouds,76.93,76.93,76.93,1004,78,10000,40,4.61
27,1819729,victoria,Hong Kong,22.2855,114.1577,Clouds,55.81,51.76,58.24,1023,80,10000,22,3.0
28,934322,mahebourg,Mahébourg,-20.4081,57.7,Clouds,77.29,76.24,77.29,1013,83,10000,40,3.44
29,1692364,puro,Puro,12.4841,123.3827,Clouds,77.41,77.41,77.41,1013,81,10000,92,14.94
30,724111,moldava nad bodvou,Moldava nad Bodvou,48.6143,20.9996,Clear,36.5,30.72,40.48,1020,67,10000,0,6.91
31,1673820,kaohsiung,Kaohsiung City,22.6163,120.3133,Clouds,60.91,51.89,61.03,1022,85,7000,75,2.3
32,3695466,la union,La Unión,-5.4,-80.75,Clouds,83.68,83.68,83.68,1009,49,10000,16,17.65
33,1735106,georgetown,George Town,5.4112,100.3354,Rain,77.05,76.95,78.73,1009,81,7000,20,8.05
34,1627877,sembakung,Sembakung,3.8167,117.25,Clouds,76.93,76.93,76.93,1011,99,10000,87,2.62
35,2155415,new norfolk,New Norfolk,-42.7826,147.0587,Clouds,55.9,53.89,57.65,1022,69,10000,100,1.01
36,964432,port alfred,Port Alfred,-33.5906,26.891,Clouds,74.39,74.39,74.39,1015,87,10000,12,20.6
37,5106841,albany,Albany,42.6001,-73.9662,Clouds,26.22,23.54,31.62,1028,40,10000,31,1.01
38,4513583,hamilton,Hamilton,39.1834,-84.5333,Haze,35.53,33.21,39.04,1022,80,10000,100,9.22
39,2017155,saskylakh,Saskylakh,71.9167,114.0833,Clouds,-13.25,-13.25,-13.25,1015,96,10000,100,5.06
40,5563839,fortuna,Fortuna,40.5982,-124.1573,Clear,52.9,48.54,57.42,1026,56,10000,0,12.66
41,2013894,ust-ordynskiy,Ust'-Ordynskiy,52.805,104.7508,Clouds,10.24,10.24,10.24,1034,100,5948,96,3.09
42,935214,saint-pierre,Saint-Pierre,-21.3393,55.4781,Clear,76.51,75.18,76.68,1012,88,10000,0,3.44
43,2274275,robertsport,Robertsport,6.7533,-11.3686,Clouds,81.09,81.09,81.09,1011,83,10000,100,8.97
44,5882953,aklavik,Aklavik,68.2191,-135.0107,Clouds,6.8,5.72,7.63,1020,78,10000,75,5.75
45,456506,priekule,Priekule,56.4468,21.5897,Clouds,42.12,42.12,42.19,1003,71,10000,100,17.4
46,4030556,rikitea,Rikitea,-23.1203,-134.9692,Rain,78.62,78.62,78.62,1018,72,10000,62,5.64
47,642455,pietarsaari,Pedersore,63.65,22.6833,Clouds,33.15,31.89,33.93,987,85,10000,100,1.99
48,2067119,mandurah,Mandurah,-32.55,115.7,Clouds,67.24,64.9,70.21,1010,75,10000,100,10.74
49,2022572,khatanga,Khatanga,71.9667,102.5,Clouds,-19.52,-19.52,-19.52,1017,100,10000,93,6.15
50,218680,boende,Boende,-0.2167,20.8667,Clouds,71.37,71.37,71.37,1012,94,10000,92,1.95
51,10722858,svetlogorsk,Forsytheganj,52.6333,29.7333,Clouds,34.45,34.45,34.45,1022,82,10000,100,8.19
52,2121385,severo-kurilsk,Severo-Kuril'sk,50.6789,156.125,Clouds,26.38,26.38,26.38,984,70,10000,94,29.08
53,3466704,castro,Castro,-24.7911,-50.0119,Clouds,76.14,76.14,76.14,1013,75,10000,46,3.18
